;id;Name;Main Story;Main + Extras;Completionist;All Styles;Platforms;Genre;Developer;Publisher;NA;EU;JP
811;62918.0; One Night 2: The Beyond ;-- ;2 Hours ;-- ;2 Hours ;   PC ;   Adventure ;   Dark Gaia Studios ;   Dark Gaia Studios ;November 29, 2018 ;November 29, 2018 ;NAN
812;62919.0; I'm Not A Monster ;23½ Hours ;-- ;-- ;23½ Hours ;   PC ;NAN;   Cheerdealers ;   Alawar Premium ;September 27, 2018 ;September 27, 2018 ;NAN
813;62920.0; London Detective Mysteria ;13½ Hours ;33 Hours ;44 Hours ;40½ Hours ;   PC, PlayStation Vita ;   Visual Novel ;   Karin Entertainment ;   XSEED Games ;December 18, 2018 ;NAN;NAN
814;62921.0; Cute Hedgehog ;-- ;-- ;4 Mins ;4 Mins ;   PC ;NAN;   Vyacheslav Shilikhin ;   Vyacheslav Shilikhin ;February 10, 2018 ;February 10, 2018 ;NAN
815;62922.0; Kinaman vs Gray Elephant ;-- ;-- ;30 Mins ;30 Mins ;   PC ;NAN;   Crystal Box Team ;   Altair Game ;May 10, 2018 ;May 10, 2018 ;NAN
816;62931.0; Mortal Kombat 11 ;6 Hours ;16 Hours ;39½ Hours ;9½ Hours ;   Google Stadia, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S ;NAN;NAN;   Warner Bros Interactive Entertainment ;April 23, 2019 ;April 23, 2019 ;NAN
817;62932.0; Gow ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
818;62933.0; Eroico ;1 Hours ;3 Hours ;3½ Hours ;3 Hours ;   PC ;   Platform ;   Kyrieru ;   Kyrieru ;October 17, 2018 ;October 17, 2018 ;NAN
819;62935.0; The Outer Worlds ;13 Hours ;25 Hours ;37 Hours ;25½ Hours ;   Nintendo Switch, PC, PlayStation 4, Xbox One ;NAN;   Obsidian Entertainment ;   Private Division ;October 25, 2019 ;October 25, 2019 ;NAN
820;62939.0; Back to the Future: The Game - 30th Anniversary Edition ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
821;62940.0; Disney Pixar Brave: The Video Game ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
822;62941.0; Hades ;21 Hours ;44 Hours ;96 Hours ;36½ Hours ;   Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S ;NAN;   Supergiant Games ;   Supergiant Games ;September 17, 2020 ;September 17, 2020 ;June 24, 2021 
823;62944.0; SHARK (2018) ;-- ;-- ;-- ;-- ;   PC ;NAN;   Trinity gaming ;   Freshtrax ;May 10, 2018 ;May 10, 2018 ;NAN
824;62945.0; iFactor ;-- ;NAN;NAN;NAN;   PC ;NAN;   10101 Software ;   10101 Software ;December 16, 2016 ;December 16, 2016 ;NAN
825;62946.0; Monster Boy and the Cursed Kingdom ;18 Hours ;20 Hours ;23½ Hours ;20½ Hours ;   Google Stadia, Nintendo Switch, PC, PlayStation 4, Xbox One ;NAN;   Game Atelier ;   FDG Entertainment ;December 04, 2018 ;December 04, 2018 ;December 04, 2018 
826;62947.0; Cut & Run (2018) ;1½ Hours ;2 Hours ;-- ;1½ Hours ;   PC ;NAN;NAN;NAN;December 07, 2018 ;NAN;NAN
827;62948.0; Star Wars: Battlefront II (2017): Resurrection ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
828;62949.0; James 'Buster' Douglas Knockout Boxing ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
829;62950.0; Don't Stand Out ;-- ;NAN;NAN;NAN;   PC ;NAN;   Tantum Games ;   Tantum Games ;May 31, 2018 ;May 31, 2018 ;NAN
830;62951.0; Sure Footing ;-- ;-- ;-- ;-- ;   PC ;NAN;   Table Flip Games ;   Table Flip Games ;March 30, 2018 ;March 30, 2018 ;NAN
831;62952.0; Age Of Civilizations 2 ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
832;62953.0; King's Raid ;-- ;-- ;-- ;-- ;   Mobile ;NAN;   Vespa ;   Vespa ;February 16, 2017 ;NAN;NAN
833;62954.0; Gal Metal ;3½ Hours ;5½ Hours ;-- ;3½ Hours ;   Nintendo Switch ;   Music/Rhythm ;   DMM Games ;   Xseed Games ;October 30, 2018 ;NAN;NAN
834;62955.0; From Beyond: Prologue ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
835;62956.0; Iris.Fall ;3 Hours ;3½ Hours ;3½ Hours ;3 Hours ;   Nintendo Switch, PC, PlayStation 4, Xbox One ;NAN;   NEXT Studios ;   NEXT Studios ;December 07, 2018 ;December 07, 2018 ;NAN
836;62957.0; Chess Sphere ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
837;62958.0; K.O.L.M. ;-- ;-- ;-- ;-- ;   Browser ;NAN;NAN;NAN; 2010 ;NAN;NAN
838;62959.0; Z-Rox ;-- ;-- ;-- ;-- ;NAN;   Puzzle ;   EvilDog ;NAN;September 20, 2008 ;NAN;NAN
839;62960.0; Edge Of Eternity ;30½ Hours ;41½ Hours ;60 Hours ;40 Hours ;   PC ;NAN;   Midgar Studio ;   Playdius ;December 05, 2018 ;December 05, 2018 ;NAN
840;62962.0; Incredible Mandy ;-- ;5½ Hours ;-- ;5½ Hours ;   PC ;   Action ;   Dotoyou Games ;   Dotoyou Games ;November 26, 2018 ;November 26, 2018 ;NAN
841;62963.0; tiny & Tall: Gleipnir Part One ;3 Hours ;4 Hours ;5 Hours ;4 Hours ;   PC ;NAN;   tT Studios ;   Plug In Digital ;September 04, 2018 ;September 04, 2018 ;NAN
842;62964.0; Deep Fighter ;14 Hours ;-- ;-- ;14 Hours ;NAN;NAN;   Criterion Games ;   Ubisoft ;August 22, 2000 ;NAN;NAN
843;62965.0; Fate Hunters ;7½ Hours ;28½ Hours ;-- ;12 Hours ;   PC ;NAN;   Tower Games ;   Tower Games ;September 17, 2018 ;September 17, 2018 ;NAN
844;62967.0; ExoGenesis: Perils of Rebirth Blind ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
845;62968.0; Cold Case Summer The Ninth Carol Reed Mystery ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
846;62969.0; A bordo del Beagle: La evolución ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
847;62971.0; The Song of Saya ;4 Hours ;5½ Hours ;6 Hours ;5 Hours ;   Mobile, PC ;   Visual Novel ;   Nitroplus ;NAN; 2012 ; 2012 ;December 26, 2003 
848;62972.0; Great Cascade ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
849;62974.0; Box Hako ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
850;62975.0; Hanahira ;2½ Hours ;-- ;3½ Hours ;3 Hours ;   Mobile, PC ;   Adventure ;   Fuguriya ;   Fuguriya ;NAN;NAN;September 25, 2010 
851;62976.0; One Hour One Life ;-- ;NAN;NAN;NAN;   PC ;NAN;   Jason Rohrer ;   Jason Rohrer ;November 08, 2018 ;November 08, 2018 ;NAN
852;62977.0; The Bradwell Conspiracy ;4 Hours ;4½ Hours ;4½ Hours ;4 Hours ;   Mobile, PC, PlayStation 4, Xbox One ;   Adventure ;   A Brave Plan ;   Bossa Studios ;October 08, 2019 ;October 08, 2019 ;NAN
853;62978.0; Little Misfortune ;3 Hours ;3 Hours ;5 Hours ;3 Hours ;   Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One ;NAN;   Killmonday Games ;   Killmonday Games ;September 18, 2019 ;September 18, 2019 ;NAN
854;62979.0; Crying Suns ;15½ Hours ;24½ Hours ;47 Hours ;18 Hours ;   PC ;NAN;   Alt Shift ;   Humble Bundle ;September 19, 2019 ;September 19, 2019 ;NAN
855;62980.0; Orphan Age ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
856;62981.0; Project JUDGE ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
857;62982.0; Hentai Girl Linda ;-- ;-- ;1½ Hours ;1½ Hours ;   PC ;NAN;NAN;   GirlGame ;December 07, 2018 ;December 07, 2018 ;NAN
858;62983.0; No Longer Home ;2 Hours ;2½ Hours ;3 Hours ;2½ Hours ;   Mac, PC, Xbox One ;NAN;NAN;   Fellow Traveller ; 2021 ; 2021 ;NAN
859;62984.0; Necrobarista ;4 Hours ;5 Hours ;7½ Hours ;5 Hours ;   Mobile, Nintendo Switch, PC ;   Visual Novel ;   Route 59 ;NAN;August 08, 2019 ;August 08, 2019 ;NAN
860;62985.0; Mutropolis ;-- ;10 Hours ;13 Hours ;10½ Hours ;   PC ;   Adventure ;   Pirita Studio ;   Application Systems Heidelberg ;February 18, 2021 ;February 18, 2021 ;NAN
861;62986.0; Mosaic (2019) ;3 Hours ;3 Hours ;3½ Hours ;3 Hours ;   Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One ;   Adventure ;   Krillbite Studio ;   Raw Fury ;December 05, 2019 ;December 05, 2019 ;NAN
862;62987.0; Day One ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
863;62988.0; Black Geyser: Couriers of Darkness ;-- ;-- ;-- ;-- ;   PC ;NAN;   GrapeOcean ;   GrapeOcean ;August 26, 2021 ;August 26, 2021 ;NAN
864;62989.0; Steamboat Billy: The Curse of the Leviathan ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
865;62990.0; Backbone ;4½ Hours ;5 Hours ;5½ Hours ;4½ Hours ;   Nintendo Switch, PC, PlayStation 4, Xbox One ;   Adventure ;   EggNut ;   Raw Fury ;June 08, 2021 ;June 08, 2021 ;NAN
866;62991.0; Highrisers ;-- ;-- ;-- ;-- ;   PC ;NAN;   Solar Powered Games ;   Assemble Entertainment ;July 15, 2021 ;July 15, 2021 ;NAN
867;62992.0; Harm Other ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
868;62993.0; Last Epoch ;13½ Hours ;18 Hours ;-- ;14 Hours ;   PC ;NAN;   Eleventh Hour Games ;   Eleventh Hour Games ;April 30, 2019 ;April 30, 2019 ;NAN
869;62994.0; A Place for the Unwilling ;12½ Hours ;-- ;-- ;12½ Hours ;   Google Stadia, PC ;   Adventure ;   ALPixel Games ;   ALPixel Games ;July 25, 2019 ;July 25, 2019 ;NAN
870;62995.0; Tech Support: Error Unknown ;6 Hours ;-- ;29½ Hours ;10 Hours ;   PC ;   Simulation ;   Dragon Slumber ;   Iceberg Interactive ;February 27, 2019 ;February 27, 2019 ;NAN
871;62996.0; Paranoia: Happiness is Mandatory ;-- ;12 Hours ;-- ;12 Hours ;   PC ;NAN;NAN;   Bigben Interactive ; 2019 ; 2019 ;NAN
872;62997.0; Tales of the Neon Sea ;9 Hours ;10 Hours ;10 Hours ;9½ Hours ;   PC ;NAN;   Palm Pioneer ;   Zodiac Interactive ;April 30, 2019 ;April 30, 2019 ;NAN
873;62999.0; Inexplicable Deaths in Damipolis: Inner Thoughts ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
